Angle of Repose,Length to Width Ratio,Coeff of Friction,Density,Volume,Length to Width Standard Deviation,Coeff of Friction Standard Deviation,Volume Standard Deviation
34.60672996,1.385,0.583,0.308,0.176,0.267,0.047,0.044
36.32260965,1.385,0.583,0.308,0.176,0.267,0.047,0.044
36.19932975,1.385,0.583,0.308,0.176,0.267,0.047,0.044
33.55366409,1.385,0.583,0.308,0.176,0.267,0.047,0.044
27.75755803,1.385,0.583,0.308,0.176,0.267,0.047,0.044
30.38862335,1.385,0.583,0.308,0.176,0.267,0.047,0.044
33.0822167,1.385,0.583,0.308,0.176,0.267,0.047,0.044
31.4159626,1.385,0.583,0.308,0.176,0.267,0.047,0.044
34.38831916,1.385,0.583,0.308,0.176,0.267,0.047,0.044
32.49840012,1.385,0.583,0.308,0.176,0.267,0.047,0.044
35.7989586,1.272,0.557,0.203,2.519,0.155,0.052,1.562
38.0747021,1.272,0.557,0.203,2.519,0.155,0.052,1.562
33.35492952,1.272,0.557,0.203,2.519,0.155,0.052,1.562
36.02243746,1.272,0.557,0.203,2.519,0.155,0.052,1.562
41.2752557,1.272,0.557,0.203,2.519,0.155,0.052,1.562
40.64969936,1.272,0.557,0.203,2.519,0.155,0.052,1.562
37.90624473,1.272,0.557,0.203,2.519,0.155,0.052,1.562
31.65448594,1.272,0.557,0.203,2.519,0.155,0.052,1.562
31.75645369,1.272,0.557,0.203,2.519,0.155,0.052,1.562
32.99034355,1.272,0.557,0.203,2.519,0.155,0.052,1.562
29.19666208,1.231,0.612,0.149,16.402,0.188,0.051,6.96
32.05451935,1.231,0.612,0.149,16.402,0.188,0.051,6.96
45.62716518,1.231,0.612,0.149,16.402,0.188,0.051,6.96
39.69218689,1.231,0.612,0.149,16.402,0.188,0.051,6.96
47.71632675,1.231,0.612,0.149,16.402,0.188,0.051,6.96
40.13014067,1.231,0.612,0.149,16.402,0.188,0.051,6.96
28.13541123,1.231,0.612,0.149,16.402,0.188,0.051,6.96
30.65704837,1.231,0.612,0.149,16.402,0.188,0.051,6.96
36.12470421,1.231,0.612,0.149,16.402,0.188,0.051,6.96
34.42135974,1.231,0.612,0.149,16.402,0.188,0.051,6.96
46.40319107,1.207,0.639,0.147,117.5,0.167,0.037,54.023
37.41770638,1.207,0.639,0.147,117.5,0.167,0.037,54.023
47.87072985,1.207,0.639,0.147,117.5,0.167,0.037,54.023
32.67911827,1.207,0.639,0.147,117.5,0.167,0.037,54.023
31.50191128,1.207,0.639,0.147,117.5,0.167,0.037,54.023
33.80799794,1.207,0.639,0.147,117.5,0.167,0.037,54.023
43.77582618,1.207,0.639,0.147,117.5,0.167,0.037,54.023
52.38223695,1.207,0.639,0.147,117.5,0.167,0.037,54.023
41.61802109,1.207,0.639,0.147,117.5,0.167,0.037,54.023
50.52731892,1.207,0.639,0.147,117.5,0.167,0.037,54.023